Country,GDP per capita (USD),Life satisfaction
Afghanistan,1970.5602,2.5229
Albania,13191.952,5.1174
Algeria,10735.383,4.8871
Angola,6110.2744,3.7948
Argentina,24647.629,6.242357
Armenia,12619.893,5.2826
Australia,48678.684,7.1835
Austria,51857.69,7.2678
Azerbaijan,13726.77,5.1708
Bahrain,41480.58,6.6469
Bangladesh,4871.4463,5.0246
Belarus,18274.021,5.566307
Belgium,48154.87,7.113178
Belize,7193.6343,5.9556
Benin,3044.517,4.1414
Bhutan,11142.475,5.0821
Bolivia,8423.697,5.7519
Bosnia and Herzegovina,13753.838,5.1294
Botswana,15948.032,3.5898
Burkina Faso,2044.387,4.4244
Burundi,773.5729,2.9045
Cambodia,3928.374,4.4326
Cameroon,3665.118,4.9753
Canada,48317.176,7.3285
Central African Republic,945.142,3.4759
Chad,1579.6261,4.4227
Chile,24967.58,6.2285
China,15977.6455,5.1239
Colombia,14585.303,6.1634
Comoros,3058.818,4.2886
Congo,3825.7014,5.1944
Costa Rica,20937.54,7.1214
Cote d'Ivoire,5212.554,5.2333
Croatia,29336.086,5.5047
Cyprus,37481.812,6.416459
Czechia,34002.19,6.35963
Democratic Republic of Congo,894.82654,3.983849
Denmark,51293.207,7.85574
Dominican Republic,13024.328,5.036006
Ecuador,10329.199,5.764
Egypt,11951.447,4.2827
